url,type,Category,url_len,domain,@,?,-,=,.,#,%,+,$,!,*,",",//,abnormal_url,https,digits,letters,Shortining_Service,having_ip_address
http://ancestry.co.uk/search/db.aspx?dbid=10193,malware,1,47,ancestry.co.uk,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,5,32,0,0
http://manosunidasciudadreal.org/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL21hbm9zdW5pZGFzY2l1ZGFkcmVhbC5vcmcvaW5kZXgucGhwP29wdGlvbj1jb21fY29udGVudCZ2aWV3PWFydGljbGUmaWQ9Mjg0OnZpLWNlbmEtc29saWRhcmlhLXNhbi1qb3NlLW9icmVybyZjYXRpZD0zODpjaXVkYWQtcmVhbCZJdGVtaWQ9NzQ=,defacement,1,277,manosunidasciudadreal.org,0,1,0,4,2,0,0,0,0,0,0,0,1,1,0,27,236,0,0
http://yyjanet.com/culture/48/9618.aspx,defacement,1,39,yyjanet.com,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,6,25,1,0
http://uptowngirlsnoods.com/index.php?page=shop.browse&category_id=28&option=com_virtuemart&Itemid=64,defacement,1,101,uptowngirlsnoods.com,0,1,0,4,3,0,0,0,0,0,0,0,1,1,0,4,80,0,0
http://sendlinger-buchladen.de/index.php?option=com_content&view=article&id=13&Itemid=7,defacement,1,87,sendlinger-buchladen.de,0,1,1,4,2,0,0,0,0,0,0,0,1,1,0,3,68,0,0
"http://torontochieftains.com/component/option,com_jevents/Itemid,29/day,08/month,02/task,day.listevents/year,2013/index.html",defacement,1,124,torontochieftains.com,0,0,0,0,3,0,0,0,0,0,0,6,1,1,0,10,93,0,0
http://guillermoroses.net/index.php?option=com_content&view=article&id=12:quienes-somos&catid=13:contenidos&Itemid=42&lang=en,defacement,1,125,guillermoroses.net,0,1,1,6,2,0,0,0,0,0,0,0,1,1,0,6,97,0,0
http://archive.nics.gov.uk/ofmdfm/030812a-ofmdfm.htm,malware,1,52,archive.nics.gov.uk,0,0,1,0,4,0,0,0,0,0,0,0,1,1,0,6,36,0,0
http://adservers.co.uk/scr/clk.aspx?ec=o03Ct0JDn4ZDu8pNoL6Pfr3QqH7SbCJGb8ZHb8ZHtTtTb8JHhL6RhzsRb8JHZzM9oKKThLYC6D6TiLYC6L6UmzcSqrKPoD6QXv6TbCJHm5cSqvMPoLoC4jMPijsRlLYCs0NOoHdRb9NIaLoC4bZDv03EsaZCb8ZDm5cSXrM9pGKPAXdHLr4TnTdU15L9oGaGNPcP1r6UAPrQG5dC1D4SY55Sr56MqzqKgb7UgPKUCD4ICzKGMbZPALLRqz4UefLR8fLPN9KO5brRt9LSdDbRAPKSE1NUnW5K35ML5jcIGTrQA9bJKDtG2faGw96Q1naIrGqO5b3R79cUJ9aRv9rS9XrLwDtOen4PmLsKgD3Coq6UZTcCqf5DMTNCiLrTgXJSs0tHALLJrK6HseLRpPtS6faQrD3SKPtRNXtCGPbGkLYC4b3UvGsHGfbTlbJ9rOaHILNUjDM9oGaJ1LYC4fbMMvMThrcTiDZJ39NLZzKLQbaTQnMH7PbUqHdCn4NHtHZOmL3EGL6Mr0NOFzMQoDpO1naTtHrO79KREH7QBLdUGXsT9P4SebdR7nKU11JD19LILnMHlTsODDKPqerRwX5PcXdSBjqI9TZDMPKKjDbGLXaUn4cQJ5bPb9JUs9rRtadICLZOlHqSoCrD4fcMqDdRbDpDtWMUv9MKmLbH5XbDu4KCKLYC45qH35rCY9N9oOpSb5cSZXMIaLoC4L6UmzcSqLID69JCt43Ds4pDuKZDbKZHn4pDu8pDp4JEmS3CoKID65ZDo43ErKZDuWZ9ZXcSlrJCc8NPcLMFca6SXHMFnKJEk43DvuICpCZBoCJDcCNPpDNFwT7CYrcPqKJCuPMRoWcOevsCYbNOme6PcycOgLMFJXqJG1LIETa9l9MQarpCc07Qo5MFpbcRdnMPWGMOqbcRd1ITh1002,malware,1,968,adservers.co.uk,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,149,809,0,0
http://zeitfeist.de/youtube/89-hardcore.html,defacement,1,44,zeitfeist.de,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,2,34,0,0
http://briard-stark.de/component/rsgallery2/category/13.html,defacement,1,60,briard-stark.de,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,3,47,0,0
http://guillermoroses.net/index.php?option=com_content&view=article&id=125&Itemid=116&lang=en,defacement,1,93,guillermoroses.net,0,1,0,5,2,0,0,0,0,0,0,0,1,1,0,6,70,0,0
http://sikobv.eu/en.html,defacement,1,24,sikobv.eu,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,18,0,0
http://adm.gov.sa/pac/wp-admin/maint/updatead364c61069f8d18c7764a0a9bbafb31ad364c61069f8d18c7764a0a9bbafb311/update/,phishing,1,116,adm.gov.sa,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,39,65,0,0
http://disline.es/eventos.html,defacement,1,30,disline.es,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,24,0,0
http://prosenior.ch/index.php?option=com_contact&view=category&catid=4&Itemid=29,defacement,1,80,prosenior.ch,0,1,0,4,2,0,0,0,0,0,0,0,1,1,0,3,62,0,0
http://oratoriosanfelipeneri.com.mx/parroquia-s-b/la-transfiguracion.html,defacement,1,73,oratoriosanfelipeneri.com.mx,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,62,0,0
http://mylust.com/videos/236045/gorgeously-sexy-brunette-with-big-tits-fucks-herself-with-her-dildo/,benign,0,100,mylust.com,0,0,10,0,1,0,0,0,0,0,0,0,1,1,0,6,76,1,0
http://ea.celnk.net/_la.php?&amp;lid=3014023&amp;nid=876268&amp;sid=218699859&amp;tg=http://santafetex.com/login.php,phishing,1,116,ea.celnk.net,0,1,0,4,5,0,0,0,0,0,0,0,2,1,0,22,67,1,0
